attack,defense,hp,image_urls,images,name,number,sp_atk,sp_def,speed,total,types
49,49,45,https://img.pokemondb.net/artwork/bulbasaur.jpg,"[{'url': 'https://img.pokemondb.net/artwork/bulbasaur.jpg', 'path': '001_bulbasaur.jpg', 'checksum': '8c25660e2a0c180a85f9fc8593378581', 'status': 'downloaded'}]",bulbasaur,1,65,65,45,318,"Grass,Poison"
62,63,60,https://img.pokemondb.net/artwork/ivysaur.jpg,"[{'url': 'https://img.pokemondb.net/artwork/ivysaur.jpg', 'path': '002_ivysaur.jpg', 'checksum': '3e58335153ecb65e99049c633660b9ea', 'status': 'downloaded'}]",ivysaur,2,80,80,60,405,"Grass,Poison"
82,83,80,"https://img.pokemondb.net/artwork/venusaur.jpg,https://img.pokemondb.net/artwork/venusaur-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/venusaur.jpg', 'path': '003_venusaur.jpg', 'checksum': 'da06c032b63595f3b994bb4b89d7e8a0', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/venusaur-mega.jpg', 'path': '003_venusaur.jpg', 'checksum': '318c224361f2b11c46e4944566056df8', 'status': 'downloaded'}]",venusaur,3,100,100,80,525,"Grass,Poison"
52,43,39,https://img.pokemondb.net/artwork/charmander.jpg,"[{'url': 'https://img.pokemondb.net/artwork/charmander.jpg', 'path': '004_charmander.jpg', 'checksum': '1fee4c3b3e9bfef3f7ba0741377aef7f', 'status': 'downloaded'}]",charmander,4,60,60,65,319,Fire
64,58,58,https://img.pokemondb.net/artwork/charmeleon.jpg,"[{'url': 'https://img.pokemondb.net/artwork/charmeleon.jpg', 'path': '005_charmeleon.jpg', 'checksum': '5ed8f3a5da59e1ac6ef67c7d4071e3be', 'status': 'downloaded'}]",charmeleon,5,80,80,80,420,Fire
84,78,78,"https://img.pokemondb.net/artwork/charizard.jpg,https://img.pokemondb.net/artwork/charizard-mega-x.jpg,https://img.pokemondb.net/artwork/charizard-mega-y.jpg","[{'url': 'https://img.pokemondb.net/artwork/charizard.jpg', 'path': '006_charizard.jpg', 'checksum': '3f3e077e864ff40d35bf36f383d3861c', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/charizard-mega-x.jpg', 'path': '006_charizard.jpg', 'checksum': '343eff3ec4cbe571d01f625107361986', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/charizard-mega-y.jpg', 'path': '006_charizard.jpg', 'checksum': '0773a58e60d70f4cca253b7676eae607', 'status': 'downloaded'}]",charizard,6,109,109,100,558,"Fire,Flying"
48,65,44,https://img.pokemondb.net/artwork/squirtle.jpg,"[{'url': 'https://img.pokemondb.net/artwork/squirtle.jpg', 'path': '007_squirtle.jpg', 'checksum': 'cfe699f02cc39001fce220e2ed77e2d2', 'status': 'downloaded'}]",squirtle,7,50,50,43,300,Water
63,80,59,https://img.pokemondb.net/artwork/wartortle.jpg,"[{'url': 'https://img.pokemondb.net/artwork/wartortle.jpg', 'path': '008_wartortle.jpg', 'checksum': '0a6558bb0458fc309c33474c9e4d6b3c', 'status': 'downloaded'}]",wartortle,8,65,65,58,390,Water
83,100,79,"https://img.pokemondb.net/artwork/blastoise.jpg,https://img.pokemondb.net/artwork/blastoise-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/blastoise.jpg', 'path': '009_blastoise.jpg', 'checksum': '3a1b2b7ec49fa16d33f172eaa62bcad0', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/blastoise-mega.jpg', 'path': '009_blastoise.jpg', 'checksum': '635d3b319af70e90aee49f01aab04ce4', 'status': 'downloaded'}]",blastoise,9,85,85,78,510,"Water,Water"
30,35,45,https://img.pokemondb.net/artwork/caterpie.jpg,"[{'url': 'https://img.pokemondb.net/artwork/caterpie.jpg', 'path': '010_caterpie.jpg', 'checksum': '5f516548428830ce52a4e2b2beaf49ad', 'status': 'downloaded'}]",caterpie,10,20,20,45,195,Bug
20,55,50,https://img.pokemondb.net/artwork/metapod.jpg,"[{'url': 'https://img.pokemondb.net/artwork/metapod.jpg', 'path': '011_metapod.jpg', 'checksum': '5e9d820c45e91c9ca185a1c1f3aa1e20', 'status': 'downloaded'}]",metapod,11,25,25,30,205,Bug
45,50,60,https://img.pokemondb.net/artwork/butterfree.jpg,"[{'url': 'https://img.pokemondb.net/artwork/butterfree.jpg', 'path': '012_butterfree.jpg', 'checksum': 'ef71ee78d4098d983de4edab0478f9f7', 'status': 'downloaded'}]",butterfree,12,90,90,70,405,"Bug,Flying"
35,30,40,https://img.pokemondb.net/artwork/weedle.jpg,"[{'url': 'https://img.pokemondb.net/artwork/weedle.jpg', 'path': '013_weedle.jpg', 'checksum': '6e046680876fa2126fbc4ed8e4ef7c6e', 'status': 'downloaded'}]",weedle,13,20,20,50,195,"Bug,Poison"
25,50,45,https://img.pokemondb.net/artwork/kakuna.jpg,"[{'url': 'https://img.pokemondb.net/artwork/kakuna.jpg', 'path': '014_kakuna.jpg', 'checksum': '5c49d104cd29163f1b2523e833237fb8', 'status': 'downloaded'}]",kakuna,14,25,25,35,205,"Bug,Poison"
90,40,65,"https://img.pokemondb.net/artwork/beedrill.jpg,https://img.pokemondb.net/artwork/beedrill-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/beedrill.jpg', 'path': '015_beedrill.jpg', 'checksum': '84cc64b4d1d6ebccb89aa0385e431dea', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/beedrill-mega.jpg', 'path': '015_beedrill.jpg', 'checksum': '5d98bc2bb85d7dbaef9d71709b55e335', 'status': 'downloaded'}]",beedrill,15,45,45,75,360,"Bug,Poison"
45,40,40,https://img.pokemondb.net/artwork/pidgey.jpg,"[{'url': 'https://img.pokemondb.net/artwork/pidgey.jpg', 'path': '016_pidgey.jpg', 'checksum': 'e3d6865ce4a3a925a73599ca38a36e7a', 'status': 'downloaded'}]",pidgey,16,35,35,56,251,"Normal,Flying"
60,55,63,https://img.pokemondb.net/artwork/pidgeotto.jpg,"[{'url': 'https://img.pokemondb.net/artwork/pidgeotto.jpg', 'path': '017_pidgeotto.jpg', 'checksum': 'bf004f5f9e682fd6cf5d29c4232076da', 'status': 'downloaded'}]",pidgeotto,17,50,50,71,349,"Normal,Flying"
80,75,83,"https://img.pokemondb.net/artwork/pidgeot.jpg,https://img.pokemondb.net/artwork/pidgeot-mega.jpg","[{'url': 'https://img.pokemondb.net/artwork/pidgeot.jpg', 'path': '018_pidgeot.jpg', 'checksum': '593dcfe79cfa8c806c98f3b0c517223a', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/pidgeot-mega.jpg', 'path': '018_pidgeot.jpg', 'checksum': '9054276296f848ea919b3aaa1446a9c7', 'status': 'downloaded'}]",pidgeot,18,70,70,101,479,"Normal,Flying"
56,35,30,"https://img.pokemondb.net/artwork/rattata.jpg,https://img.pokemondb.net/artwork/rattata-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/rattata.jpg', 'path': '019_rattata.jpg', 'checksum': '09aaf5fb256fee342eab84a8b254c07f', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/rattata-alolan.jpg', 'path': '019_rattata.jpg', 'checksum': 'be0847c75be37663195f96e4b5d5ce0d', 'status': 'downloaded'}]",rattata,19,25,25,72,243,"Normal,Dark"
81,60,55,"https://img.pokemondb.net/artwork/raticate.jpg,https://img.pokemondb.net/artwork/raticate-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/raticate.jpg', 'path': '020_raticate.jpg', 'checksum': 'a9e32a94ac6ae6c607dbda5387c229c3', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/raticate-alolan.jpg', 'path': '020_raticate.jpg', 'checksum': '6bb8120f1731dca2d993c4e6bf5e8f7a', 'status': 'downloaded'}]",raticate,20,50,50,97,393,"Normal,Dark"
60,30,40,https://img.pokemondb.net/artwork/spearow.jpg,"[{'url': 'https://img.pokemondb.net/artwork/spearow.jpg', 'path': '021_spearow.jpg', 'checksum': '3d74f1367b07bc2325ec7eaa83cab02e', 'status': 'downloaded'}]",spearow,21,31,31,70,262,"Normal,Flying"
90,65,65,https://img.pokemondb.net/artwork/fearow.jpg,"[{'url': 'https://img.pokemondb.net/artwork/fearow.jpg', 'path': '022_fearow.jpg', 'checksum': '055dc93288a99fe6f621644d45d58e8e', 'status': 'downloaded'}]",fearow,22,61,61,100,442,"Normal,Flying"
60,44,35,https://img.pokemondb.net/artwork/ekans.jpg,"[{'url': 'https://img.pokemondb.net/artwork/ekans.jpg', 'path': '023_ekans.jpg', 'checksum': '6d4036d52e0648141c15d25ee98ea264', 'status': 'downloaded'}]",ekans,23,40,40,55,274,Poison
95,69,60,https://img.pokemondb.net/artwork/arbok.jpg,"[{'url': 'https://img.pokemondb.net/artwork/arbok.jpg', 'path': '024_arbok.jpg', 'checksum': 'bf1ff7335f93951085ee54118aed7c2e', 'status': 'downloaded'}]",arbok,24,65,65,80,434,Poison
55,40,35,"https://img.pokemondb.net/artwork/pikachu.jpg,https://img.pokemondb.net/artwork/pikachu-lets-go.jpg","[{'url': 'https://img.pokemondb.net/artwork/pikachu.jpg', 'path': '025_pikachu.jpg', 'checksum': '18f834699b388acd96e3fb70813a7906', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/pikachu-lets-go.jpg', 'path': '025_pikachu.jpg', 'checksum': '97c699da78716a96f0354cfd40b33fcc', 'status': 'downloaded'}]",pikachu,25,50,50,90,320,"Electric,Electric"
90,55,60,"https://img.pokemondb.net/artwork/raichu.jpg,https://img.pokemondb.net/artwork/raichu-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/raichu.jpg', 'path': '026_raichu.jpg', 'checksum': 'af95dc0a925acbe685e0abfe61c51b3d', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/raichu-alolan.jpg', 'path': '026_raichu.jpg', 'checksum': '9b6a3515256bdbb72ce1da648edc1694', 'status': 'downloaded'}]",raichu,26,90,90,110,495,"Electric,Electric"
75,85,50,"https://img.pokemondb.net/artwork/sandshrew.jpg,https://img.pokemondb.net/artwork/sandshrew-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/sandshrew.jpg', 'path': '027_sandshrew.jpg', 'checksum': '3e5d6515b1d65701045ca42a258485bf', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/sandshrew-alolan.jpg', 'path': '027_sandshrew.jpg', 'checksum': '09a010f73cda9782aa8f103bbf3d80b4', 'status': 'downloaded'}]",sandshrew,27,20,20,40,290,"Ground,Ice"
100,110,75,"https://img.pokemondb.net/artwork/sandslash.jpg,https://img.pokemondb.net/artwork/sandslash-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/sandslash.jpg', 'path': '028_sandslash.jpg', 'checksum': 'a2d45744c27245660a75c1e62418dc28', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/sandslash-alolan.jpg', 'path': '028_sandslash.jpg', 'checksum': '1f7bcee312688b5ab90da3061202b121', 'status': 'downloaded'}]",sandslash,28,45,45,65,440,"Ground,Ice"
47,52,55,https://img.pokemondb.net/artwork/nidoran-f.jpg,"[{'url': 'https://img.pokemondb.net/artwork/nidoran-f.jpg', 'path': '029_nidoran-female.jpg', 'checksum': '21ecfc0d17cf1f34c9fbe21f092428f4', 'status': 'downloaded'}]",nidoran-female,29,40,40,41,275,Poison
62,67,70,https://img.pokemondb.net/artwork/nidorina.jpg,"[{'url': 'https://img.pokemondb.net/artwork/nidorina.jpg', 'path': '030_nidorina.jpg', 'checksum': '9a7f5a1dbb0b3ab41b014b9ef378c524', 'status': 'downloaded'}]",nidorina,30,55,55,56,365,Poison
92,87,90,https://img.pokemondb.net/artwork/nidoqueen.jpg,"[{'url': 'https://img.pokemondb.net/artwork/nidoqueen.jpg', 'path': '031_nidoqueen.jpg', 'checksum': 'f5c73862d349b4a6a04984d92a2d25f1', 'status': 'downloaded'}]",nidoqueen,31,75,75,76,495,"Poison,Ground"
57,40,46,https://img.pokemondb.net/artwork/nidoran-m.jpg,"[{'url': 'https://img.pokemondb.net/artwork/nidoran-m.jpg', 'path': '032_nidoran-male.jpg', 'checksum': '103acb554447214b2660785f1bc7f727', 'status': 'downloaded'}]",nidoran-male,32,40,40,50,273,Poison
72,57,61,https://img.pokemondb.net/artwork/nidorino.jpg,"[{'url': 'https://img.pokemondb.net/artwork/nidorino.jpg', 'path': '033_nidorino.jpg', 'checksum': '69677816d18d2c0c9b13c840ac30f219', 'status': 'downloaded'}]",nidorino,33,55,55,65,365,Poison
102,77,81,https://img.pokemondb.net/artwork/nidoking.jpg,"[{'url': 'https://img.pokemondb.net/artwork/nidoking.jpg', 'path': '034_nidoking.jpg', 'checksum': 'ae9db66f9336a24bbc2bf1b454535a60', 'status': 'downloaded'}]",nidoking,34,85,85,85,515,"Poison,Ground"
45,48,70,https://img.pokemondb.net/artwork/clefairy.jpg,"[{'url': 'https://img.pokemondb.net/artwork/clefairy.jpg', 'path': '035_clefairy.jpg', 'checksum': '64df6a1c42452aeac2ab07c2938b5a5d', 'status': 'downloaded'}]",clefairy,35,60,60,35,318,Fairy
70,73,95,https://img.pokemondb.net/artwork/clefable.jpg,"[{'url': 'https://img.pokemondb.net/artwork/clefable.jpg', 'path': '036_clefable.jpg', 'checksum': '2b255c483f92a4dbf5ef50797e1d1c83', 'status': 'downloaded'}]",clefable,36,95,95,60,488,Fairy
41,40,38,"https://img.pokemondb.net/artwork/vulpix.jpg,https://img.pokemondb.net/artwork/vulpix-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/vulpix.jpg', 'path': '037_vulpix.jpg', 'checksum': 'add95e6302ee7352cef59f0e77e8feca', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/vulpix-alolan.jpg', 'path': '037_vulpix.jpg', 'checksum': '9e718cbaaf63f723338acf435078e96a', 'status': 'downloaded'}]",vulpix,37,50,50,65,284,"Fire,Ice"
76,75,73,"https://img.pokemondb.net/artwork/ninetales.jpg,https://img.pokemondb.net/artwork/ninetales-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/ninetales.jpg', 'path': '038_ninetales.jpg', 'checksum': '0104749934aeda8a680e6ab214cff0be', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/ninetales-alolan.jpg', 'path': '038_ninetales.jpg', 'checksum': 'c19aea9a63805cff6d3ae0e0fb144d14', 'status': 'downloaded'}]",ninetales,38,81,81,100,486,"Fire,Ice"
45,20,115,https://img.pokemondb.net/artwork/jigglypuff.jpg,"[{'url': 'https://img.pokemondb.net/artwork/jigglypuff.jpg', 'path': '039_jigglypuff.jpg', 'checksum': '5023e35c8c2cecd8ae265e922081deb3', 'status': 'downloaded'}]",jigglypuff,39,45,45,20,290,"Normal,Fairy"
70,45,140,https://img.pokemondb.net/artwork/wigglytuff.jpg,"[{'url': 'https://img.pokemondb.net/artwork/wigglytuff.jpg', 'path': '040_wigglytuff.jpg', 'checksum': '4334bf95000f39b550a8e5934299c41f', 'status': 'downloaded'}]",wigglytuff,40,85,85,45,470,"Normal,Fairy"
45,35,40,https://img.pokemondb.net/artwork/zubat.jpg,"[{'url': 'https://img.pokemondb.net/artwork/zubat.jpg', 'path': '041_zubat.jpg', 'checksum': '73a93577ebd5ce296dfbe0fec35d44cf', 'status': 'downloaded'}]",zubat,41,30,30,55,235,"Poison,Flying"
80,70,75,https://img.pokemondb.net/artwork/golbat.jpg,"[{'url': 'https://img.pokemondb.net/artwork/golbat.jpg', 'path': '042_golbat.jpg', 'checksum': 'e561b38452599a000d2d1b832a9a9b0b', 'status': 'downloaded'}]",golbat,42,65,65,90,445,"Poison,Flying"
50,55,45,https://img.pokemondb.net/artwork/oddish.jpg,"[{'url': 'https://img.pokemondb.net/artwork/oddish.jpg', 'path': '043_oddish.jpg', 'checksum': '5b86ebd99c88b2edcbdbbf68995452c2', 'status': 'downloaded'}]",oddish,43,75,75,30,330,"Grass,Poison"
65,70,60,https://img.pokemondb.net/artwork/gloom.jpg,"[{'url': 'https://img.pokemondb.net/artwork/gloom.jpg', 'path': '044_gloom.jpg', 'checksum': '67c11f1da1bafeb873215c3b3a7e59a4', 'status': 'downloaded'}]",gloom,44,85,85,40,405,"Grass,Poison"
80,85,75,https://img.pokemondb.net/artwork/vileplume.jpg,"[{'url': 'https://img.pokemondb.net/artwork/vileplume.jpg', 'path': '045_vileplume.jpg', 'checksum': 'fd039d20d085c4712ae7628349f05fdf', 'status': 'downloaded'}]",vileplume,45,110,110,50,510,"Grass,Poison"
70,55,35,https://img.pokemondb.net/artwork/paras.jpg,"[{'url': 'https://img.pokemondb.net/artwork/paras.jpg', 'path': '046_paras.jpg', 'checksum': '22dd8ad3b8e44532925c4db27d39ed6f', 'status': 'downloaded'}]",paras,46,45,45,25,275,"Bug,Grass"
95,80,60,https://img.pokemondb.net/artwork/parasect.jpg,"[{'url': 'https://img.pokemondb.net/artwork/parasect.jpg', 'path': '047_parasect.jpg', 'checksum': '0af23db9b4e7fa8a8a07512bb4e562e1', 'status': 'downloaded'}]",parasect,47,60,60,30,385,"Bug,Grass"
55,50,60,https://img.pokemondb.net/artwork/venonat.jpg,"[{'url': 'https://img.pokemondb.net/artwork/venonat.jpg', 'path': '048_venonat.jpg', 'checksum': '1887bcb8f2ec865324f083cde89a4d1d', 'status': 'downloaded'}]",venonat,48,40,40,45,290,"Bug,Poison"
65,60,70,https://img.pokemondb.net/artwork/venomoth.jpg,"[{'url': 'https://img.pokemondb.net/artwork/venomoth.jpg', 'path': '049_venomoth.jpg', 'checksum': 'b2b90ae9fdb6d42daab454b33c17edcc', 'status': 'downloaded'}]",venomoth,49,90,90,90,465,"Bug,Poison"
55,25,10,"https://img.pokemondb.net/artwork/diglett.jpg,https://img.pokemondb.net/artwork/diglett-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/diglett.jpg', 'path': '050_diglett.jpg', 'checksum': 'd51b380c127ab30c010c07f1b802453e', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/diglett-alolan.jpg', 'path': '050_diglett.jpg', 'checksum': 'f750c513d82646286b2b895966737911', 'status': 'downloaded'}]",diglett,50,35,35,95,255,"Ground,Ground"
100,50,35,"https://img.pokemondb.net/artwork/dugtrio.jpg,https://img.pokemondb.net/artwork/dugtrio-alolan.jpg","[{'url': 'https://img.pokemondb.net/artwork/dugtrio.jpg', 'path': '051_dugtrio.jpg', 'checksum': 'ff339dc77ac7d7880c580a474eb5082d', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/dugtrio-alolan.jpg', 'path': '051_dugtrio.jpg', 'checksum': '0424286d3a9e4f31f587405b6643aaf6', 'status': 'downloaded'}]",dugtrio,51,50,50,120,405,"Ground,Ground"
45,35,40,"https://img.pokemondb.net/artwork/meowth.jpg,https://img.pokemondb.net/artwork/meowth-alolan.jpg,https://img.pokemondb.net/artwork/meowth-galarian.jpg","[{'url': 'https://img.pokemondb.net/artwork/meowth.jpg', 'path': '052_meowth.jpg', 'checksum': '6a651b6ab5c5c7703361c9ccee5684c2', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/meowth-alolan.jpg', 'path': '052_meowth.jpg', 'checksum': 'f1b7bb03b415a9f383eb89d707f11f47', 'status': 'downloaded'}, {'url': 'https://img.pokemondb.net/artwork/meowth-galarian.jpg', 'path': '052_meowth.jpg', 'checksum': '53650f6ab841e0b68cc40f0f1f283d9e', 'status': 'downloaded'}]",meowth,52,40,40,90,290,"Normal,Dark"
